lat;lng;tipo;foto_url
-33.5327707;-70.7851800;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749417500/hoyo1_wjv2d3.jpg"
-33.5341667;-70.7839438;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749417434/hoyo2_xgpfcd.jpg"
-33.5344182;-70.7842747;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749417435/hoyo3_txmmkv.jpg"
-33.5328621;-70.7839867;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749417434/hoyo4_vodksv.jpg"
-33.5329110;-70.7834553;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490285/hoyo5_thstlg.jpg"
-33.4822124;-70.7487677;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490326/hoyo6_tkx9jg.jpg"
-33.4827432;-70.7475717;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490536/hoyo7_wq3crm.jpg"
-33.516213;-70757451;"Grieta";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490596/grieta1_hrdjb9.jpg"
-33.5240291;-70.7590435;"Grieta";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490682/grieta2_zsgkvi.jpg"
-33.5248892;-70.7693084;"Grieta";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490713/grieta3_sstnqf.jpg"
-33.5247969;-70.7704537;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490807/hoyo8_uss3wx.jpg"
-33.5246524;-70.7723067;"Grieta";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490900/grieta4_ir19yg.jpg"
-33.5289989;-70.7770626;"Grieta";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490962/grieta5_czx9yk.jpg"
-33.5328834;-70.7793180;"Grieta";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749490992/grieta6_vttibg.jpg"
-33.5327822;-70.7810501;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749491127/hoyo9_pzali8.jpg"
-33.532804;-70.781903;"Bache";"https://res.cloudinary.com/dj1fvrhgb/image/upload/v1749491138/hoyo10_gzkpwu.jpg"
